Column1,index,protein_external_id,preferred_name,protein_size,"annotation
",nlp_processing,cancer_noun_identification,sent_negative,sent_positive,sent_neutral,cancer,TP,FP,TN,FN,cancer_real_label
101,11018,9606.ENSP00000359557,LDOC1,146,protein ldoc may have an important role in the development and or progression of some cancers belongs to the ldoc family ,"['protein', 'ldoc', 'may', 'important', 'role', 'development', 'progression', 'cancer', 'belongs', 'ldoc', 'family']",1,0,0.083,0.917,0,0,0,0,1,1
102,11028,9606.ENSP00000359596,CLCA2,943,calcium activated chloride channel regulator  plays a role in modulating chloride current across the plasma membrane in a calcium dependent manner and cell adhesion involved in basal cell adhesion and or stratification of squamous epithelia may act as a tumor suppressor in breast and colorectal cancer plays a key role for cell adhesion in the beginning stages of lung metastasis via the binding to itgb belongs to the clcr family ,"['calcium', 'activated', 'chloride', 'channel', 'regulator', 'play', 'role', 'modulating', 'chloride', 'current', 'across', 'plasma', 'membrane', 'calcium', 'dependent', 'manner', 'cell', 'adhesion', 'involved', 'basal', 'cell', 'adhesion', 'stratification', 'squamous', 'epithelium', 'may', 'act', 'tumor', 'suppressor', 'breast', 'colorectal', 'cancer', 'play', 'key', 'role', 'cell', 'adhesion', 'beginning', 'stage', 'lung', 'metastasis', 'via', 'binding', 'itgb', 'belongs', 'clcr', 'family']",1,0.096,0.055,0.849,0,0,0,1,0,0
103,11051,9606.ENSP00000359685,PTP4A1,173,protein tyrosine phosphatase type iva  protein tyrosine phosphatase which stimulates progression from g into s phase during mitosis may play a role in the development and maintenance of differentiating epithelial tissues enhances cell proliferation cell motility and invasive activity and promotes cancer metastasis ,"['protein', 'tyrosine', 'phosphatase', 'type', 'iva', 'protein', 'tyrosine', 'phosphatase', 'stimulates', 'progression', 'g', 'phase', 'mitosis', 'may', 'play', 'role', 'development', 'maintenance', 'differentiating', 'epithelial', 'tissue', 'enhances', 'cell', 'proliferation', 'cell', 'motility', 'invasive', 'activity', 'promotes', 'cancer', 'metastasis']",1,0.093,0.144,0.763,0,0,0,0,1,1
104,11155,9606.ENSP00000360266,JUN,331,transcription factor ap  transcription factor that recognizes and binds to the enhancer heptamer motif  tga cg tca  promotes activity of nra when phosphorylated by hipk leading to increased steroidogenic gene expression upon camp signaling pathway stimulation involved in activated kras mediated transcriptional activation of usp in colorectal cancer crc cells binds to the usp promoter in colorectal cancer crc cells basic leucine zipper proteins ,"['transcription', 'factor', 'ap', 'transcription', 'factor', 'recognizes', 'bind', 'enhancer', 'heptamer', 'motif', 'tga', 'cg', 'tca', 'promotes', 'activity', 'nra', 'phosphorylated', 'hipk', 'leading', 'increased', 'steroidogenic', 'gene', 'expression', 'upon', 'camp', 'signaling', 'pathway', 'stimulation', 'involved', 'activated', 'kras', 'mediated', 'transcriptional', 'activation', 'usp', 'colorectal', 'cancer', 'crc', 'cell', 'bind', 'usp', 'promoter', 'colorectal', 'cancer', 'crc', 'cell', 'basic', 'leucine', 'zipper', 'protein']",1,0.12,0.061,0.819,0,0,0,0,1,1
105,11170,9606.ENSP00000360317,CYP2C8,490,cytochrome p c cytochromes p are a group of heme thiolate monooxygenases in liver microsomes this enzyme is involved in an nadph dependent electron transport pathway it oxidizes a variety of structurally unrelated compounds including steroids fatty acids and xenobiotics in the epoxidation of arachidonic acid it generates only   and   cis epoxyeicosatrienoic acids it is the principal enzyme responsible for the metabolism the anti cancer drug paclitaxel taxol ,"['cytochrome', 'p', 'c', 'cytochrome', 'p', 'group', 'heme', 'thiolate', 'monooxygenases', 'liver', 'microsome', 'enzyme', 'involved', 'nadph', 'dependent', 'electron', 'transport', 'pathway', 'oxidizes', 'variety', 'structurally', 'unrelated', 'compound', 'including', 'steroid', 'fatty', 'acid', 'xenobiotics', 'epoxidation', 'arachidonic', 'acid', 'generates', 'ci', 'epoxyeicosatrienoic', 'acid', 'principal', 'enzyme', 'responsible', 'metabolism', 'anti', 'cancer', 'drug', 'paclitaxel', 'taxol']",1,0.097,0.033,0.87,0,0,0,1,0,0
106,11175,9606.ENSP00000360360,CT47B1,299,cancer testis antigen family  member b ,"['cancer', 'testis', 'antigen', 'family', 'member', 'b']",1,0.524,0,0.476,1,0,0,0,1,1
107,11191,9606.ENSP00000360437,FAM210B,192,protein famb mitochondrial plays a role in erythroid differentiation involved in cell proliferation and tumor cell growth suppression involved in the metabolic reprogramming of cancer cells in a pdk dependent manner belongs to the fam family ,"['protein', 'famb', 'mitochondrial', 'play', 'role', 'erythroid', 'differentiation', 'involved', 'cell', 'proliferation', 'tumor', 'cell', 'growth', 'suppression', 'involved', 'metabolic', 'reprogramming', 'cancer', 'cell', 'pdk', 'dependent', 'manner', 'belongs', 'fam', 'family']",1,0.168,0.111,0.721,0,0,0,0,1,1
108,11288,9606.ENSP00000360961,CT83,113,kita kyushu lung cancer antigen  cancer testis antigen  ,"['kita', 'kyushu', 'lung', 'cancer', 'antigen', 'cancer', 'testis', 'antigen']",1,0.595,0,0.405,1,0,0,0,1,1
109,11293,9606.ENSP00000360988,LUZP4,313,leucine zipper protein  export adapter involved in mrna nuclear export in cancer cells binds and enhances the rna binding activity of the nuclear rna export factor nxf can restore mrna export function in cells compromised by loss of mrna export adapters ,"['leucine', 'zipper', 'protein', 'export', 'adapter', 'involved', 'mrna', 'nuclear', 'export', 'cancer', 'cell', 'bind', 'enhances', 'rna', 'binding', 'activity', 'nuclear', 'rna', 'export', 'factor', 'nxf', 'restore', 'mrna', 'export', 'function', 'cell', 'compromised', 'loss', 'mrna', 'export', 'adapter']",1,0.143,0.047,0.81,0,0,0,0,1,1
110,11340,9606.ENSP00000361199,C10orf99,81,protein gprl chemotactic factor that mediates lymphocytes recruitement to epithelia through binding and activation of the g protein coupled receptor gpr may be a tumor suppressor together with susd has a growth inhibitory effect on colon cancer cells which includes g cell cycle arrest ,"['protein', 'gprl', 'chemotactic', 'factor', 'mediates', 'lymphocyte', 'recruitement', 'epithelium', 'binding', 'activation', 'g', 'protein', 'coupled', 'receptor', 'gpr', 'may', 'tumor', 'suppressor', 'together', 'susd', 'growth', 'inhibitory', 'effect', 'colon', 'cancer', 'cell', 'includes', 'g', 'cell', 'cycle', 'arrest']",1,0.233,0.053,0.714,0,0,0,1,0,0
111,11370,9606.ENSP00000361373,KLF17,389,krueppel like factor  transcription repressor that binds to the promoter of target genes and prevents their expression acts as a negative regulator of epithelial mesenchymal transition and metastasis in breast cancer specifically binds the  caccc  sequence in the promoter of id a key metastasis regulator in breast cancer and repress its expression may be a germ cell specific transcription factor that plays important roles in spermatid differentiation and oocyte development by similarity kruppel like factors ,"['krueppel', 'like', 'factor', 'transcription', 'repressor', 'bind', 'promoter', 'target', 'gene', 'prevents', 'expression', 'act', 'negative', 'regulator', 'epithelial', 'mesenchymal', 'transition', 'metastasis', 'breast', 'cancer', 'specifically', 'bind', 'caccc', 'sequence', 'promoter', 'id', 'key', 'metastasis', 'regulator', 'breast', 'cancer', 'repress', 'expression', 'may', 'germ', 'cell', 'specific', 'transcription', 'factor', 'play', 'important', 'role', 'spermatid', 'differentiation', 'oocyte', 'development', 'similarity', 'kruppel', 'like', 'factor']",1,0.194,0.113,0.694,0,0,0,0,1,1
112,11664,9606.ENSP00000362638,MARCKSL1,195,marcks related protein controls cell movement by regulating actin cytoskeleton homeostasis and filopodium and lamellipodium formation when unphosphorylated induces cell migration when phosphorylated by mapk induces actin bundles formation and stabilization thereby reducing actin plasticity hence restricting cell movement including neuronal migration may also affect cancer cell migration may be involved in coupling the protein kinase c and calmodulin signal transduction systems by similarity ,"['marcks', 'related', 'protein', 'control', 'cell', 'movement', 'regulating', 'actin', 'cytoskeleton', 'homeostasis', 'filopodium', 'lamellipodium', 'formation', 'unphosphorylated', 'induces', 'cell', 'migration', 'phosphorylated', 'mapk', 'induces', 'actin', 'bundle', 'formation', 'stabilization', 'thereby', 'reducing', 'actin', 'plasticity', 'hence', 'restricting', 'cell', 'movement', 'including', 'neuronal', 'migration', 'may', 'also', 'affect', 'cancer', 'cell', 'migration', 'may', 'involved', 'coupling', 'protein', 'kinase', 'c', 'calmodulin', 'signal', 'transduction', 'system', 'similarity']",1,0.103,0.018,0.88,0,0,0,1,0,0
113,11677,9606.ENSP00000362702,NEK6,347,serine threonine protein kinase nek protein kinase which plays an important role in mitotic cell cycle progression required for chromosome segregation at metaphase anaphase transition robust mitotic spindle formation and cytokinesis phosphorylates atf cir ptn radl rbbp rps rpskb trip stat and histones h and h phosphorylates kif to promote mitotic spindle formation involved in g m phase cell cycle arrest induced by dna damage inhibition of activity results in apoptosis may contribute to tumorigenesis by suppressing p tp induced cancer cell senescence ,"['serine', 'threonine', 'protein', 'kinase', 'nek', 'protein', 'kinase', 'play', 'important', 'role', 'mitotic', 'cell', 'cycle', 'progression', 'required', 'chromosome', 'segregation', 'metaphase', 'anaphase', 'transition', 'robust', 'mitotic', 'spindle', 'formation', 'cytokinesis', 'phosphorylates', 'atf', 'cir', 'ptn', 'radl', 'rbbp', 'rps', 'rpskb', 'trip', 'stat', 'histone', 'h', 'h', 'phosphorylates', 'kif', 'promote', 'mitotic', 'spindle', 'formation', 'involved', 'g', 'phase', 'cell', 'cycle', 'arrest', 'induced', 'dna', 'damage', 'inhibition', 'activity', 'result', 'apoptosis', 'may', 'contribute', 'tumorigenesis', 'suppressing', 'p', 'tp', 'induced', 'cancer', 'cell', 'senescence']",1,0.137,0.096,0.767,0,0,0,1,0,0
114,11755,9606.ENSP00000363081,DKK1,266,dickkopf related protein  antagonizes canonical wnt signaling by inhibiting lrp  interaction with wnt and by forming a ternary complex with the transmembrane protein kremen that promotes internalization of lrp  dkks play an important role in vertebrate development where they locally inhibit wnt regulated processes such as antero posterior axial patterning limb development somitogenesis and eye formation in the adult dkks are implicated in bone formation and bone disease cancer and alzheimer disease inhibits the pro apoptotic function of kremen in a wnt independent manner ,"['dickkopf', 'related', 'protein', 'antagonizes', 'canonical', 'wnt', 'signaling', 'inhibiting', 'lrp', 'interaction', 'wnt', 'forming', 'ternary', 'complex', 'transmembrane', 'protein', 'kremen', 'promotes', 'internalization', 'lrp', 'dkks', 'play', 'important', 'role', 'vertebrate', 'development', 'locally', 'inhibit', 'wnt', 'regulated', 'process', 'antero', 'posterior', 'axial', 'patterning', 'limb', 'development', 'somitogenesis', 'eye', 'formation', 'adult', 'dkks', 'implicated', 'bone', 'formation', 'bone', 'disease', 'cancer', 'alzheimer', 'disease', 'inhibits', 'pro', 'apoptotic', 'function', 'kremen', 'wnt', 'independent', 'manner']",1,0.128,0.071,0.801,0,0,0,0,1,1
115,11763,9606.ENSP00000363128,DEC1,70,deleted in esophageal cancer  candidate tumor suppressor ,"['deleted', 'esophageal', 'cancer', 'candidate', 'tumor', 'suppressor']",1,0.583,0,0.417,1,0,1,0,0,0
116,11768,9606.ENSP00000363149,SPDEF,335,sam pointed domain containing ets transcription factor may function as an androgen independent transactivator of the prostate specific antigen psa promoter binds to  ggat  dna sequences may play a role in the regulation of the prostate gland and or prostate cancer development acts as a transcriptional activator for serpinb promoter ets transcription factor family ,"['sam', 'pointed', 'domain', 'containing', 'ets', 'transcription', 'factor', 'may', 'function', 'androgen', 'independent', 'transactivator', 'prostate', 'specific', 'antigen', 'psa', 'promoter', 'bind', 'ggat', 'dna', 'sequence', 'may', 'play', 'role', 'regulation', 'prostate', 'gland', 'prostate', 'cancer', 'development', 'act', 'transcriptional', 'activator', 'serpinb', 'promoter', 'ets', 'transcription', 'factor', 'family']",1,0.077,0.042,0.88,0,0,0,0,1,1
117,11924,9606.ENSP00000364013,TMEFF1,380,tomoregulin  may inhibit nodal and bmp signaling during neural patterning by similarity may be a tumor suppressor in brain cancers ,"['tomoregulin', 'may', 'inhibit', 'nodal', 'bmp', 'signaling', 'neural', 'patterning', 'similarity', 'may', 'tumor', 'suppressor', 'brain', 'cancer']",1,0.234,0,0.766,0,0,0,0,1,0
118,12098,9606.ENSP00000365019,SPIN1,262,spindlin  chromatin reader that specifically recognizes and binds histone h both trimethylated at lys  and asymmetrically dimethylated at arg  hkme and hrmea and acts as an activator of wnt signaling pathway downstream of prmt in case of cancer promotes cell cancer proliferation via activation of the wnt signaling pathway overexpression induces metaphase arrest and chromosomal instability localizes to active rdna loci and promotes the expression of rrna genes may play a role in cell cycle regulation during the transition from gamete to embryo involved in oocyte ,"['spindlin', 'chromatin', 'reader', 'specifically', 'recognizes', 'bind', 'histone', 'h', 'trimethylated', 'lys', 'asymmetrically', 'dimethylated', 'arg', 'hkme', 'hrmea', 'act', 'activator', 'wnt', 'signaling', 'pathway', 'downstream', 'prmt', 'case', 'cancer', 'promotes', 'cell', 'cancer', 'proliferation', 'via', 'activation', 'wnt', 'signaling', 'pathway', 'overexpression', 'induces', 'metaphase', 'arrest', 'chromosomal', 'instability', 'localizes', 'active', 'rdna', 'locus', 'promotes', 'expression', 'rrna', 'gene', 'may', 'play', 'role', 'cell', 'cycle', 'regulation', 'transition', 'gamete', 'embryo', 'involved', 'oocyte']",1,0.114,0.101,0.785,0,0,0,0,1,1
119,12272,9606.ENSP00000366246,GPC6,555,glypican  cell surface proteoglycan that bears heparan sulfate putative cell surface coreceptor for growth factors extracellular matrix proteins proteases and anti proteases by similarity enhances migration and invasion of cancer cells through wnta signaling belongs to the glypican family ,"['glypican', 'cell', 'surface', 'proteoglycan', 'bear', 'heparan', 'sulfate', 'putative', 'cell', 'surface', 'coreceptor', 'growth', 'factor', 'extracellular', 'matrix', 'protein', 'protease', 'anti', 'protease', 'similarity', 'enhances', 'migration', 'invasion', 'cancer', 'cell', 'wnta', 'signaling', 'belongs', 'glypican', 'family']",1,0.148,0.057,0.795,0,0,0,0,1,1
120,12287,9606.ENSP00000366317,CASC10,136,protein casc cancer susceptibility  ,"['protein', 'casc', 'cancer', 'susceptibility']",1,0.595,0,0.405,1,1,0,0,0,1
121,12314,9606.ENSP00000366465,ZKSCAN3,538,zinc finger protein with krab and scan domains  transcriptional factor that binds to the consensus sequence  gt ag agt gggg  and acts as a repressor of autophagy specifically represses expression of genes involved in autophagy and lysosome biogenesis function such as maplcb ulk or wipi associates with chromatin at the itgb and vegf promoters also acts as a transcription activator and promotes cancer cell progression and or migration in various tumors and myelomas scan domain containing ,"['zinc', 'finger', 'protein', 'krab', 'scan', 'domain', 'transcriptional', 'factor', 'bind', 'consensus', 'sequence', 'gt', 'ag', 'agt', 'gggg', 'act', 'repressor', 'autophagy', 'specifically', 'represses', 'expression', 'gene', 'involved', 'autophagy', 'lysosome', 'biogenesis', 'function', 'maplcb', 'ulk', 'wipi', 'associate', 'chromatin', 'itgb', 'vegf', 'promoter', 'also', 'act', 'transcription', 'activator', 'promotes', 'cancer', 'cell', 'progression', 'migration', 'various', 'tumor', 'myeloma', 'scan', 'domain', 'containing']",1,0.11,0.054,0.835,0,0,0,0,1,1
122,12436,9606.ENSP00000367202,RECK,971,reversion inducing cysteine rich protein with kazal motifs negatively regulates matrix metalloproteinase  mmp  by suppressing mmp  secretion and by direct inhibition of its enzymatic activity reck down regulation by oncogenic signals may facilitate tumor invasion and metastasis appears to also regulate mmp  and mt mmp which are involved in cancer progression ,"['reversion', 'inducing', 'cysteine', 'rich', 'protein', 'kazal', 'motif', 'negatively', 'regulates', 'matrix', 'metalloproteinase', 'mmp', 'suppressing', 'mmp', 'secretion', 'direct', 'inhibition', 'enzymatic', 'activity', 'reck', 'regulation', 'oncogenic', 'signal', 'may', 'facilitate', 'tumor', 'invasion', 'metastasis', 'appears', 'also', 'regulate', 'mmp', 'mt', 'mmp', 'involved', 'cancer', 'progression']",1,0.158,0.06,0.782,0,0,0,0,1,1
123,12531,9606.ENSP00000367817,PODXL,558,podocalyxin involved in the regulation of both adhesion and cell morphology and cancer progression function as an anti adhesive molecule that maintains an open filtration pathway between neighboring foot processes in the podocyte by charge repulsion acts as a pro adhesive molecule enhancing the adherence of cells to immobilized ligands increasing the rate of migration and cell cell contacts in an integrin dependent manner induces the formation of apical actin dependent microvilli involved in the formation of a preapical plasma membrane subdomain to set up inital epithelial pola ,"['podocalyxin', 'involved', 'regulation', 'adhesion', 'cell', 'morphology', 'cancer', 'progression', 'function', 'anti', 'adhesive', 'molecule', 'maintains', 'open', 'filtration', 'pathway', 'neighboring', 'foot', 'process', 'podocyte', 'charge', 'repulsion', 'act', 'pro', 'adhesive', 'molecule', 'enhancing', 'adherence', 'cell', 'immobilized', 'ligand', 'increasing', 'rate', 'migration', 'cell', 'cell', 'contact', 'integrin', 'dependent', 'manner', 'induces', 'formation', 'apical', 'actin', 'dependent', 'microvilli', 'involved', 'formation', 'preapical', 'plasma', 'membrane', 'subdomain', 'set', 'inital', 'epithelial', 'pola']",1,0.097,0,0.903,0,0,0,0,1,1
124,12630,9606.ENSP00000368503,C4orf46,113,renal cancer differentiation gene  protein chromosome  open reading frame  ,"['renal', 'cancer', 'differentiation', 'gene', 'protein', 'chromosome', 'open', 'reading', 'frame']",1,0.355,0,0.645,0,0,0,0,1,1
125,12788,9606.ENSP00000369497,BRCA2,3418,breast cancer type  susceptibility protein involved in double strand break repair and or homologous recombination binds rad and potentiates recombinational dna repair by promoting assembly of rad onto single stranded dna ssdna acts by targeting rad to ssdna over double stranded dna enabling rad to displace replication protein a rpa from ssdna and stabilizing rad ssdna filaments by blocking atp hydrolysis part of a palb scaffolded hr complex containing radc and which is thought to play a role in dna repair by hr may participate in s phase checkpoint activation b ,"['breast', 'cancer', 'type', 'susceptibility', 'protein', 'involved', 'double', 'strand', 'break', 'repair', 'homologous', 'recombination', 'bind', 'rad', 'potentiates', 'recombinational', 'dna', 'repair', 'promoting', 'assembly', 'rad', 'onto', 'single', 'stranded', 'dna', 'ssdna', 'act', 'targeting', 'rad', 'ssdna', 'double', 'stranded', 'dna', 'enabling', 'rad', 'displace', 'replication', 'protein', 'rpa', 'ssdna', 'stabilizing', 'rad', 'ssdna', 'filament', 'blocking', 'atp', 'hydrolysis', 'part', 'palb', 'scaffolded', 'hr', 'complex', 'containing', 'radc', 'thought', 'play', 'role', 'dna', 'repair', 'hr', 'may', 'participate', 'phase', 'checkpoint', 'activation', 'b']",1,0.075,0.052,0.873,0,0,0,0,1,1
126,12922,9606.ENSP00000370253,NKX3-1,234,homeobox protein nkx   transcription factor which binds preferentially the consensus sequence  taagt ag  and can behave as a transcriptional repressor plays an important role in normal prostate development regulating proliferation of glandular epithelium and in the formation of ducts in prostate acts as a tumor suppressor controlling prostate carcinogenesis as shown by the ability to inhibit proliferation and invasion activities of pc  prostate cancer cells belongs to the nk  homeobox family ,"['homeobox', 'protein', 'nkx', 'transcription', 'factor', 'bind', 'preferentially', 'consensus', 'sequence', 'taagt', 'ag', 'behave', 'transcriptional', 'repressor', 'play', 'important', 'role', 'normal', 'prostate', 'development', 'regulating', 'proliferation', 'glandular', 'epithelium', 'formation', 'duct', 'prostate', 'act', 'tumor', 'suppressor', 'controlling', 'prostate', 'carcinogenesis', 'shown', 'ability', 'inhibit', 'proliferation', 'invasion', 'activity', 'pc', 'prostate', 'cancer', 'cell', 'belongs', 'nk', 'homeobox', 'family']",1,0.15,0.076,0.774,0,0,0,1,0,0
127,12939,9606.ENSP00000370394,RUFY3,620,protein rufy plays a role in the generation of neuronal polarity formation and axon growth by similarity implicated in the formation of a single axon by developing neurons by similarity may inhibit the formation of additional axons by inhibition of pik in minor neuronal processes by similarity plays a role in the formation of f actin enriched protrusive structures at the cell periphery plays a role in cytoskeletal organization by regulating the subcellular localization of fscn and dbn at axonal growth cones by similarity promotes gastric cancer cell migration and inva ,"['protein', 'rufy', 'play', 'role', 'generation', 'neuronal', 'polarity', 'formation', 'axon', 'growth', 'similarity', 'implicated', 'formation', 'single', 'axon', 'developing', 'neuron', 'similarity', 'may', 'inhibit', 'formation', 'additional', 'axon', 'inhibition', 'pik', 'minor', 'neuronal', 'process', 'similarity', 'play', 'role', 'formation', 'f', 'actin', 'enriched', 'protrusive', 'structure', 'cell', 'periphery', 'play', 'role', 'cytoskeletal', 'organization', 'regulating', 'subcellular', 'localization', 'fscn', 'dbn', 'axonal', 'growth', 'cone', 'similarity', 'promotes', 'gastric', 'cancer', 'cell', 'migration', 'inva']",1,0.095,0.136,0.769,0,0,0,0,1,1
128,13009,9606.ENSP00000370882,OCIAD1,245,ocia domain containing protein  maintains stem cell potency by similarity increases stat phosphorylation and controls erk phosphorylation by similarity may act as a scaffold increasing stat recruitment onto endosomes by similarity involved in integrin mediated cancer cell adhesion and colony formation in ovarian cancer belongs to the ociad family ,"['ocia', 'domain', 'containing', 'protein', 'maintains', 'stem', 'cell', 'potency', 'similarity', 'increase', 'stat', 'phosphorylation', 'control', 'erk', 'phosphorylation', 'similarity', 'may', 'act', 'scaffold', 'increasing', 'stat', 'recruitment', 'onto', 'endosomes', 'similarity', 'involved', 'integrin', 'mediated', 'cancer', 'cell', 'adhesion', 'colony', 'formation', 'ovarian', 'cancer', 'belongs', 'ociad', 'family']",1,0.161,0,0.839,0,0,0,1,0,0
129,13013,9606.ENSP00000370896,GREB1,1949,protein greb may play a role in estrogen stimulated cell proliferation acts as a regulator of hormone dependent cancer growth in breast and prostate cancers ,"['protein', 'greb', 'may', 'play', 'role', 'estrogen', 'stimulated', 'cell', 'proliferation', 'act', 'regulator', 'hormone', 'dependent', 'cancer', 'growth', 'breast', 'prostate', 'cancer']",1,0.145,0.228,0.627,0,0,0,0,1,1
130,13278,9606.ENSP00000373696,TRIP12,2040,e ubiquitin protein ligase trip e ubiquitin protein ligase involved in ubiquitin fusion degradation ufd pathway and regulation of dna repair part of the ubiquitin fusion degradation ufd pathway a process that mediates ubiquitination of protein at their n terminus regardeless of the presence of lysine residues in target proteins in normal cells mediates ubiquitination and degradation of isoform parf arf of cdkna a lysine less tumor suppressor required for p tp activation under oncogenic stress in cancer cells however isoform parf arf and trip are located in ,"['e', 'ubiquitin', 'protein', 'ligase', 'trip', 'e', 'ubiquitin', 'protein', 'ligase', 'involved', 'ubiquitin', 'fusion', 'degradation', 'ufd', 'pathway', 'regulation', 'dna', 'repair', 'part', 'ubiquitin', 'fusion', 'degradation', 'ufd', 'pathway', 'process', 'mediates', 'ubiquitination', 'protein', 'n', 'terminus', 'regardeless', 'presence', 'lysine', 'residue', 'target', 'protein', 'normal', 'cell', 'mediates', 'ubiquitination', 'degradation', 'isoform', 'parf', 'arf', 'cdkna', 'lysine', 'le', 'tumor', 'suppressor', 'required', 'p', 'tp', 'activation', 'oncogenic', 'stress', 'cancer', 'cell', 'however', 'isoform', 'parf', 'arf', 'trip', 'located']",1,0.206,0,0.794,0,0,0,1,0,0
131,13396,9606.ENSP00000375586,ZNF304,659,zinc finger protein  acts as transcriptional regulator and plays a role in gene silencing probably forms a corepressor complex required for activated kras mediated promoter hypermethylation and transcriptional silencing of several tumor suppressor genes tsgs or other tumor related genes in colorectal cancer crc cells also required to maintain a transcriptionally repressive state of genes in undifferentiated embryonic stem cells escs by inducing trimethylation of lys  of histone h hkme in a polycomb group pcg complexes dependent manner associates at promoter re ,"['zinc', 'finger', 'protein', 'act', 'transcriptional', 'regulator', 'play', 'role', 'gene', 'silencing', 'probably', 'form', 'corepressor', 'complex', 'required', 'activated', 'kras', 'mediated', 'promoter', 'hypermethylation', 'transcriptional', 'silencing', 'several', 'tumor', 'suppressor', 'gene', 'tsgs', 'tumor', 'related', 'gene', 'colorectal', 'cancer', 'crc', 'cell', 'also', 'required', 'maintain', 'transcriptionally', 'repressive', 'state', 'gene', 'undifferentiated', 'embryonic', 'stem', 'cell', 'escs', 'inducing', 'trimethylation', 'lys', 'histone', 'h', 'hkme', 'polycomb', 'group', 'pcg', 'complex', 'dependent', 'manner', 'associate', 'promoter']",1,0.172,0.023,0.805,0,0,0,1,0,0
132,13457,9606.ENSP00000376097,URI1,535,unconventional prefoldin rpb interactor  involved in gene transcription regulation acts as a transcriptional repressor in concert with the corepressor uxt to regulate androgen receptor ar transcription may act as a tumor suppressor to repress ar mediated gene transcription and to inhibit anchorage independent growth in prostate cancer cells required for cell survival in ovarian cancer cells together with uxt associates with chromatin to the nkx  promoter region antagonizes transcriptional modulation via hepatitis b virus x protein belongs to the rna polymerase ii subunit ,"['unconventional', 'prefoldin', 'rpb', 'interactor', 'involved', 'gene', 'transcription', 'regulation', 'act', 'transcriptional', 'repressor', 'concert', 'corepressor', 'uxt', 'regulate', 'androgen', 'receptor', 'ar', 'transcription', 'may', 'act', 'tumor', 'suppressor', 'repress', 'ar', 'mediated', 'gene', 'transcription', 'inhibit', 'anchorage', 'independent', 'growth', 'prostate', 'cancer', 'cell', 'required', 'cell', 'survival', 'ovarian', 'cancer', 'cell', 'together', 'uxt', 'associate', 'chromatin', 'nkx', 'promoter', 'region', 'antagonizes', 'transcriptional', 'modulation', 'via', 'hepatitis', 'b', 'virus', 'x', 'protein', 'belongs', 'rna', 'polymerase', 'ii', 'subunit']",1,0.216,0.028,0.756,0,0,0,1,0,0
133,13705,9606.ENSP00000377793,PRC1,620,protein regulator of cytokinesis  key regulator of cytokinesis that cross links antiparrallel microtubules at an average distance of  nm essential for controlling the spatiotemporal formation of the midzone and successful cytokinesis required for kif localization to the central spindle and midbody required to recruit plk to the spindle stimulates plk phosphorylation of racgap to allow recruitment of ect to the central spindle acts as an oncogene for promoting bladder cancer cells proliferation apoptosis inhibition and carcinogenic progression belongs to the map ase family ,"['protein', 'regulator', 'cytokinesis', 'key', 'regulator', 'cytokinesis', 'cross', 'link', 'antiparrallel', 'microtubule', 'average', 'distance', 'nm', 'essential', 'controlling', 'spatiotemporal', 'formation', 'midzone', 'successful', 'cytokinesis', 'required', 'kif', 'localization', 'central', 'spindle', 'midbody', 'required', 'recruit', 'plk', 'spindle', 'stimulates', 'plk', 'phosphorylation', 'racgap', 'allow', 'recruitment', 'ect', 'central', 'spindle', 'act', 'oncogene', 'promoting', 'bladder', 'cancer', 'cell', 'proliferation', 'apoptosis', 'inhibition', 'carcinogenic', 'progression', 'belongs', 'map', 'ase', 'family']",1,0.073,0.108,0.818,0,0,0,0,1,1
134,13752,9606.ENSP00000378132,IRX5,483,iroquois class homeodomain protein irx  establishes the cardiac repolarization gradient by its repressive actions on the kcnd potassium channel gene required for retinal cone bipolar cell differentiation may regulate contrast adaptation in the retina and control specific aspects of visual function in circuits of the mammalian retina by similarity could be involved in the regulation of both the cell cycle and apoptosis in prostate cancer cells involved in craniofacial and gonadal development modulates the migration of progenitor cell populations in branchial arches and gonads ,"['iroquois', 'class', 'homeodomain', 'protein', 'irx', 'establishes', 'cardiac', 'repolarization', 'gradient', 'repressive', 'action', 'kcnd', 'potassium', 'channel', 'gene', 'required', 'retinal', 'cone', 'bipolar', 'cell', 'differentiation', 'may', 'regulate', 'contrast', 'adaptation', 'retina', 'control', 'specific', 'aspect', 'visual', 'function', 'circuit', 'mammalian', 'retina', 'similarity', 'could', 'involved', 'regulation', 'cell', 'cycle', 'apoptosis', 'prostate', 'cancer', 'cell', 'involved', 'craniofacial', 'gonadal', 'development', 'modulates', 'migration', 'progenitor', 'cell', 'population', 'branchial', 'arch', 'gonad']",1,0.077,0,0.923,0,0,0,0,1,1
